序號	書中頁碼	圖上頁碼	地圖編號	地圖名稱	分冊信息	收錄圖冊	圖番（請求圖番）	收錄圖域	所載索引圖	地區	攝影時間	測圖、測量時間	測圖時間2（製版）	測圖者	修正時間	縮圖時間	製圖時間	製版時間	製版者	製印時間	印刷時間	複製時間	複製者	調製時間	調製者	發行時間	發行者	比例尺	ps	WKT
11	79		C0011	滸山所城	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海59號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.055361 30.110614,121.055361 30.27927,121.292811 30.27927,121.292811 30.110614,121.055361 30.110614))
12	79		C0012	餘姚縣城	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海60號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.055248 29.948396,121.055248 30.113503,121.291763 30.113503,121.291763 29.948396,121.055248 29.948396))
13	79		C0013	臨山衛城	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海69號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((120.816636 30.112442,120.816636 30.279457,121.05884 30.279457,121.05884 30.112442,120.816636 30.112442))
14	79		C0014	曹娥鎮	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海70號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((120.817668 29.948473,120.817668 30.113241,121.056534 30.113241,121.056534 29.948473,120.817668 29.948473))
15	79		C0015	馬鞍鎮	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海79號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((120.576207 30.11284,120.576207 30.279439,120.81988 30.279439,120.81988 30.11284,120.576207 30.11284))
16	79		C0016	紹興縣城東部	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海80號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((120.57568 29.947975,120.57568 30.11318,120.818637 30.11318,120.818637 29.947975,120.57568 29.947975))
17	79		C0017	紹興縣城西部	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海90號		浙江省索引圖1	浙江省		中華民國6年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((120.339022 29.947713,120.339022 30.113162,120.57842 30.113162,120.57842 29.947713,120.339022 29.947713))
18	79		C0018	臨浦鎮	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海100號		浙江省索引圖1	浙江省		中華民國10年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((120.098188 29.947145,120.098188 30.113824,120.340143 30.113824,120.340143 29.947145,120.098188 29.947145))
19	79		C0019	大盤山	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海東5號		浙江省索引圖1	浙江省		中華民國7年						昭和20年									參謀本部	1:50000		POLYGON((122.72123 30.76885,122.72123 30.934448,122.965725 30.934448,122.965725 30.76885,122.72123 30.76885))
20	79		C0020	狼岡山	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海東7號		浙江省索引圖1	浙江省		中華民國7年						昭和20年									參謀本部	1:50000		POLYGON((122.72102 30.436924,122.72102 30.607574,122.965926 30.607574,122.965926 30.436924,122.72102 30.436924))
21	80		C0021	東福山	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海東9號		浙江省索引圖1	浙江省		中華民國7年						昭和20年									參謀本部	1:50000		POLYGON((122.721008 30.112385,122.721008 30.279053,122.966668 30.279053,122.966668 30.112385,122.721008 30.112385))
22	80		C0022	花鳥山	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海東15號		浙江省索引圖1	浙江省		中華民國7年						昭和20年									參謀本部	1:50000		POLYGON((122.477468 30.769436,122.477468 30.93458,122.721989 30.93458,122.721989 30.769436,122.477468 30.769436))
23	80		C0023	黃龍山	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海東16號		浙江省索引圖1	浙江省		中華民國7年						昭和20年									參謀本部	1:50000		POLYGON((122.477624 30.607154,122.477624 30.770048,122.722345 30.770048,122.722345 30.607154,122.477624 30.607154))
24	80		C0024	三星山	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海東18號		浙江省索引圖1	浙江省		中華民國7年						昭和20年									參謀本部	1:50000		POLYGON((122.473047 30.278461,122.473047 30.477127,122.727172 30.477127,122.727172 30.278461,122.473047 30.278461))
25	80		C0025	廟子湖島	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海東19號		浙江省索引圖1	浙江省		中華民國7年						昭和20年									參謀本部	1:50000		POLYGON((122.477625 30.112718,122.477625 30.279095,122.722123 30.279095,122.722123 30.112718,122.477625 30.112718))
26	80		C0026	龍王廟	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海近傍2號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國5年		江蘇陸軍測量局				昭和7年									陸地測量部/參謀本部	1:50000		POLYGON((121.754994 31.321276,121.754994 31.484743,122.002043 31.484743,122.002043 31.321276,121.754994 31.321276))
27	80		C0027	老港鎮	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海近傍3號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正14年								大正14年	陸地測量部/參謀本部	1:50000		POLYGON((121.75554 31.002885,121.75554 31.163315,122.002843 31.163315,122.002843 31.002885,121.75554 31.002885))
28	80		C0028	鴨窩沙	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海近傍6號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正14年								大正14年	陸地測量部/參謀本部	1:50000		POLYGON((121.517206 31.320712,121.517206 31.484717,121.757462 31.484717,121.757462 31.320712,121.517206 31.320712))
29	80		C0029	川沙	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海近傍7號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正14年								大正14年	陸地測量部/參謀本部	1:50000		POLYGON((121.524549 31.162586,121.524549 31.322683,121.757272 31.322683,121.757272 31.162586,121.524549 31.162586))
30	80		C0030	南匯	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海近傍8號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正14年								大正14年	陸地測量部/參謀本部	1:50000		POLYGON((121.524803 31.002368,121.524803 31.163257,121.757273 31.163257,121.757273 31.002368,121.524803 31.002368))
31	81		C0031	崇明	第一冊	中國大陸五萬分之一地圖集成	五萬分之一圖上海近傍10號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正14年								大正14年	陸地測量部/參謀本部	1:50000		POLYGON((121.286067 31.4835,121.286067 31.643873,121.527325 31.643873,121.527325 31.4835,121.286067 31.4835))
32	81		C0032	宝山城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一圖上海近傍11號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正14年								大正14年	陸地測量部/參謀本部	1:50000		POLYGON((121.286942 31.321507,121.286942 31.484317,121.525607 31.484317,121.525607 31.321507,121.286942 31.321507))
33	81		C0033	上海	第一冊	中國大陸五萬分之一地圖集成	五萬分之一圖上海近傍12號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正15年								大正15年	陸地測量部/參謀本部	1:50000		POLYGON((121.286411 31.161922,121.286411 31.322924,121.526343 31.322924,121.526343 31.161922,121.286411 31.161922))
34	81		C0034	莘莊鎮	第一冊	中國大陸五萬分之一地圖集成	上海近傍13號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正15年								大正15年	陸地測量部/參謀本部	1:50000		POLYGON((121.286443 31.003182,121.286443 31.163035,121.526024 31.163035,121.526024 31.003182,121.286443 31.003182))
35	81		C0035	三光鎮	第一冊	中國大陸五萬分之一地圖集成	上海近傍19號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國5年		江蘇陸軍測量局				昭和7年								昭和7年	陸地測量部/參謀本部	1:50000		POLYGON((121.051567 31.643229,121.051567 31.798313,121.288674 31.798313,121.288674 31.643229,121.051567 31.643229))
36	81		C0036	太倉	第一冊	中國大陸五萬分之一地圖集成	上海近傍21號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正14年								大正14年	陸地測量部/參謀本部	1:50000		POLYGON((121.051773 31.320391,121.051773 31.484639,121.287374 31.484639,121.287374 31.320391,121.051773 31.320391))
37	81		C0037	南翔鎮	第一冊	中國大陸五萬分之一地圖集成	上海近傍22號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正15年								大正15年	陸地測量部/參謀本部	1:50000		POLYGON((121.051255 31.162546,121.051255 31.323486,121.287118 31.323486,121.287118 31.162546,121.051255 31.162546))
38	81		C0038	滸浦鎮	第一冊	中國大陸五萬分之一地圖集成	上海近傍29號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國7年（江蘇陸軍測量局縮制）						大正15年								大正15年	陸地測量部/參謀本部	1:50000		POLYGON((120.813634 31.642604,120.813634 31.798564,121.052318 31.798564,121.052318 31.642604,120.813634 31.642604))
39	81		C0039	吳江	第一冊	中國大陸五萬分之一地圖集成	上海近傍44號		江蘇省·上海市索引圖1	江蘇省·上海市		中華民國5年		江蘇陸軍測量局				大正15年								大正15年	陸地測量部/參謀本部	1:50000		POLYGON((120.580139 31.003199,120.580139 31.163257,120.81592 31.163257,120.81592 31.003199,120.580139 31.003199))
40	81		C0040	嘉興縣城	第一冊	中國大陸五萬分之一地圖集成	上海近傍46號		浙江省索引圖2	浙江省		中華民國4年		江蘇陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.586323 30.678974,120.586323 30.843917,120.828083 30.843917,120.828083 30.678974,120.586323 30.678974))
41	82		C0041	乍浦鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍1號		浙江省索引圖2	浙江省		中華民國4年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((121.065592 30.518289,121.065592 30.680151,121.302066 30.680151,121.302066 30.518289,121.065592 30.518289))
42	82		C0042	海鹽縣城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍2號		浙江省索引圖2	浙江省		中華民國4年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.827624 30.518226,120.827624 30.680816,121.066813 30.680816,121.066813 30.518226,120.827624 30.518226))
43	82		C0043	澉浦鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍3號		浙江省索引圖2	浙江省		中華民國4年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.827557 30.359841,120.827557 30.519037,121.066596 30.519037,121.066596 30.359841,120.827557 30.359841))
44	82		C0044	硤石鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍4號		浙江省索引圖2	浙江省		中華民國4年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.585455 30.516186,120.585455 30.680289,120.829693 30.680289,120.829693 30.516186,120.585455 30.516186))
45	82		C0045	袁化鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍5號		浙江省索引圖2	浙江省		中華民國4年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.586662 30.334981,120.586662 30.519236,120.828103 30.519236,120.828103 30.334981,120.586662 30.334981))
46	82		C0046	崇德縣城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍6號		浙江省索引圖2	浙江省		中華民國4年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.348712 30.518421,120.348712 30.680483,120.587204 30.680483,120.587204 30.518421,120.348712 30.518421))
47	82		C0047	海寧縣城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍7號		浙江省索引圖2	浙江省		中華民國4年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.348843 30.359843,120.348843 30.518943,120.587795 30.518943,120.587795 30.359843,120.348843 30.359843))
48	82		C0048	赭山鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍8號		浙江省索引圖2	浙江省		中華民國4年及6年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.348624 30.203309,120.348624 30.360667,120.587887 30.360667,120.587887 30.203309,120.348624 30.203309))
49	82		C0049	柯橋鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍9號		浙江省索引圖2	浙江省		中華民國4年及6年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.348395 30.038087,120.348395 30.204087,120.588001 30.204087,120.588001 30.038087,120.348395 30.038087))
50	82		C0050	大錢鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍10號		浙江省索引圖2	浙江省		中華民國20年		參謀本部陸地測量總局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.107281 30.84319,120.107281 31.001217,120.350769 31.001217,120.350769 30.84319,120.107281 30.84319))
51	83		C0051	双林鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍11號		浙江省索引圖2	浙江省		中華民國5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.107237 30.679625,120.107237 30.843647,120.349833 30.843647,120.349833 30.679625,120.107237 30.679625))
52	83		C0052	新市鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍12號		浙江省索引圖2	浙江省		中華民國4年及5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.106778 30.516179,120.106778 30.680465,120.34967 30.680465,120.34967 30.516179,120.106778 30.516179))
53	83		C0053	塘樓鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍13號		浙江省索引圖2	浙江省		中華民國3年及4年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.107763 30.35893,120.107763 30.519637,120.349242 30.519637,120.349242 30.35893,120.107763 30.35893))
54	83		C0054	杭縣城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍14號		浙江省索引圖2	浙江省		中華民國3年及6年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.107567 30.203596,120.107567 30.360521,120.349731 30.360521,120.349731 30.203596,120.107567 30.203596))
55	83		C0055	蕭山縣城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍15號		浙江省索引圖2	浙江省		中華民國3年及5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((120.107305 30.038661,120.107305 30.203956,120.350009 30.203956,120.350009 30.038661,120.107305 30.038661))
56	83		C0056	吳興縣城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍17號		浙江省索引圖2	浙江省		中華民國5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.869271 30.842844,119.869271 31.001075,120.108911 31.001075,120.108911 30.842844,119.869271 30.842844))
57	83		C0057	和平鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍18號		浙江省索引圖2	浙江省		中華民國5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.868874 30.679755,119.868874 30.843666,120.108885 30.843666,120.108885 30.679755,119.868874 30.679755))
58	83		C0058	德清縣城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍19號		浙江省索引圖2	浙江省		中華民國3年及5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.869249 30.51868,119.869249 30.680037,120.108665 30.680037,120.108665 30.51868,119.869249 30.51868))
59	83		C0059	瓶窰鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍20號		浙江省索引圖2	浙江省		中華民國3年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.868658 30.360083,119.868658 30.519469,120.109383 30.519469,120.109383 30.360083,119.868658 30.360083))
60	83		C0060	餘杭縣城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍21號		浙江省索引圖2	浙江省		中華民國3年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.869251 30.203433,119.869251 30.360357,120.10911 30.360357,120.10911 30.203433,119.869251 30.203433))
61	84		C0061	富陽縣城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍22號		浙江省索引圖2	浙江省		中華民國3年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.869208 30.038567,119.869208 30.204189,120.110103 30.204189,120.110103 30.038567,119.869208 30.038567))
62	84		C0062	泗安鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍23號		浙江省索引圖2	浙江省		中華民國4年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.631042 30.841757,119.631042 31.000889,119.869986 31.000889,119.869986 30.841757,119.631042 30.841757))
63	84		C0063	泗安鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍23號/1		浙江省索引圖2	浙江省		中華民國4年						昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.597813 30.855052,119.597813 31.017135,119.837788 31.017135,119.837788 30.855052,119.597813 30.855052))
64	84		C0064	安吉縣城	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍24號		浙江省索引圖2	浙江省		中華民國4年及5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.630229 30.678544,119.630229 30.843593,119.871866 30.843593,119.871866 30.678544,119.630229 30.678544))
65	84		C0065	遞鋪鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍25號		浙江省索引圖2	浙江省		中華民國5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.631017 30.518324,119.631017 30.680361,119.870204 30.680361,119.870204 30.518324,119.631017 30.518324))
66	84		C0066	双溪鎮	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍26號		浙江省索引圖2	浙江省		中華民國5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.630911 30.358594,119.630911 30.519145,119.869986 30.519145,119.869986 30.358594,119.630911 30.358594))
67	84		C0067	临安县城	第一冊	中國大陸五萬分之一地圖集成	杭州近傍27號		浙江省索引圖2	浙江省		中華民國5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.629927 30.202337,119.629927 30.360247,119.871378 30.360247,119.871378 30.202337,119.629927 30.202337))
68	84		C0068	雞籠山	第一冊	中國大陸五萬分之一地圖集成	杭州近傍28號		浙江省索引圖2	浙江省		中華民國5年		浙江陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.631173 30.038658,119.631173 30.204055,119.870192 30.204055,119.870192 30.038658,119.631173 30.038658))
69	84		C0069	廣德縣	第一冊	中國大陸五萬分之一地圖集成	民國制南支那五萬分之一杭州近傍29號		浙江省索引圖3、安徽省索引圖1	浙江省		中華民國25年						昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.36009 30.855241,119.36009 31.017269,119.599428 31.017269,119.599428 30.855241,119.36009 30.855241))
70	84		C0070	西畝市	第一冊	中國大陸五萬分之一地圖集成	仮制南支那五萬分之一杭州近傍30號		浙江省索引圖2	浙江省		中華民國5年						昭和12年								昭和13年	陸地測量部/參謀本部	1:50000	昭和13年增補改版	POLYGON((119.399466 30.679148,119.399466 30.843706,119.631771 30.843706,119.631771 30.679148,119.399466 30.679148))
71	85		C0071	蘆村	第一冊	中國大陸五萬分之一地圖集成	民國制南支那五萬分之一杭州近傍30號/1		浙江省索引圖3、安徽省索引圖1	浙江省		中華民國25年						昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.359697 30.691283,119.359697 30.855755,119.598907 30.855755,119.598907 30.691283,119.359697 30.691283))
72	85		C0072	孝豐縣城	第一冊	中國大陸五萬分之一地圖集成	仮制南支那五萬分之一杭州近傍31號		浙江省索引圖2	浙江省		中華民國12年						昭和12年								昭和13年	陸地測量部/參謀本部	1:50000	昭和13年增補改版	POLYGON((119.398865 30.518323,119.398865 30.680131,119.63276 30.680131,119.63276 30.518323,119.398865 30.518323))
73	85		C0073	孝豐縣城	第一冊	中國大陸五萬分之一地圖集成	仮制南支那五萬分之一杭州近傍31號/1		浙江省索引圖3、安徽省索引圖1	浙江省		中華民國25年						昭和15年								昭和15年	陸地測量部/參謀本部	1:50000		POLYGON((119.359398 30.532089,119.359398 30.691935,119.599603 30.691935,119.599603 30.532089,119.359398 30.532089))
74	85		C0074	天目山	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍32號		浙江省索引圖2	浙江省		中華民國12年		江蘇陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.399312 30.359439,119.399312 30.519161,119.632161 30.519161,119.632161 30.359439,119.399312 30.359439))
75	85		C0075	後渚橋	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍33號		浙江省索引圖2	浙江省		中華民國12年		江蘇陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.39904 30.203522,119.39904 30.360451,119.632781 30.360451,119.632781 30.203522,119.39904 30.203522))
76	85		C0076	於潛縣治	第一冊	中國大陸五萬分之一地圖集成	五萬分之一杭州近傍34號		浙江省索引圖2	浙江省		中華民國6年		江蘇陸軍測量局				昭和12年								昭和12年	陸地測量部/參謀本部	1:50000		POLYGON((119.398272 30.038679,119.398272 30.203882,119.633887 30.203882,119.633887 30.038679,119.398272 30.038679))
77	85		C0077	董店	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖武昌1號		河南省索引圖1	河南省		中華民國26年						昭和13年								昭和14年	陸地測量部/參謀本部	1:50000	昭和14年改版	POLYGON((114.762624 31.467455,114.762624 31.636728,115.003802 31.636728,115.003802 31.467455,114.762624 31.467455))
78	85		C0078	西張店	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖武昌2號		湖北省索引圖1	湖北省		中華民國17年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((114.811484 31.332586,114.811484 31.500632,115.063244 31.500632,115.063244 31.332586,114.811484 31.332586))
79	85		C0079	麻城縣	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖武昌3號		湖北省索引圖1	湖北省		中華民國23年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((114.811303 31.165875,114.811303 31.333693,115.064408 31.333693,115.064408 31.165875,114.811303 31.165875))
80	85		C0080	中館驛	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖武昌4號		湖北省索引圖1	湖北省		中華民國23年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((114.81143 30.999601,114.81143 31.166957,115.064165 31.166957,115.064165 30.999601,114.81143 30.999601))
